"Operand", "Example", "Description"
"``x == y``", "``x == 18``", "value of ``x`` is equal to ``y``"
"``x != y``", "``x != 18``", "value of ``x`` is not equal to ``y``"
"``x in y``", "``x in [1, 2, 3]``", "``x`` contains ``y``"
"``x not in y``", "``x not in [1, 2, 3]``", "``x`` not contains ``y``"
