"Operand", "Description"
"``x < y``", "mniejsze niż"
"``x <= y``", "mniejsze lub równe"
"``x > y``", "większe niż"
"``x >= y``", "większe lub równe"
"``x == y``", "równe"
"``x != y``", "różne"
"``x += 1``", "dodanie i przypisanie, ``x = 1; x += 3``"
"``x in y``", "obiekt jest w innym"
"``x not in y``", "obiekt nie jest w innym"
"``x is y``", "obiekty są tożsame (sprawdzanie czy ``None``)"
"``x is not y``", "obiekty nie są tożsame (sprawdzanie czy nie ``None``)"
