"Operand", "Description"
"``+=``", "dodanie i przypisanie"
"``<``", "mniejsze niż"
"``<=``", "mniejsze lub równe"
"``>``", "większe niż"
"``>=``", "większe lub równe"
"``==``", "równe"
"``!=``", "różne"
"``in``", "obiekt jest w innym"
"``not in``", "obiekt nie jest w innym"
"``is``", "obiekty są tożsame (sprawdzanie czy ``None``)"
"``is not``", "obiekty nie są tożsame (sprawdzanie czy nie ``None``)"
