Order, Astronaut, Date, Mission
, Francis Scobee, 1984-04-06, 41-C
, James van Hoften, 1984-04-06, 41-C
123, Igor Volk, 1984-07-17, Soyuz T-12
124, Michael Coats, 1984-08-30, 41-D
, Steven Hawley, 1984-08-30, 41-D
, Richard Mullane, 1984-08-30, 41-D
, Judith Resnik, 1984-08-30, 41-D
, Charles Walker, 1984-08-30, 41-D
129, Marc Garneau, 1984-10-05, 41-G
, David Leestma, 1984-10-05, 41-G
, Jon McBride, 1984-10-05, 41-G
, Paul Scully-Power, 1984-10-05, 41-G
, Kathryn Sullivan, 1984-10-05, 41-G
134, Anna Fisher, 1984-11-08, 51-A
, David Walker, 1984-11-08, 51-A
136, James Buchli, 1985-01-24, 51-C
, Ellison Onizuka, 1985-01-24, 51-C
, Gary Payton, 1985-01-24, 51-C
, Loren Shriver, 1985-01-24, 51-C
140, Edwin Garn, 1985-04-12, 51-D
, Stanley Griggs, 1985-04-12, 51-D
, Jeffrey Hoffman, 1985-04-12, 51-D
, Margaret Seddon, 1985-04-12, 51-D
, Donald Williams, 1985-04-12, 51-D
145, Frederick Gregory, 1985-04-29, 51-B
, Don Lind, 1985-04-29, 51-B
, Lodewijk van den Berg, 1985-04-29, 51-B
, Taylor Wang, 1985-04-29, 51-B
149, Sultan Al-Saud, 1985-06-17, 51-G
, Patrick Baudry, 1985-06-17, 51-G
, John Creighton, 1985-06-17, 51-G
, Shannon Lucid, 1985-06-17, 51-G
, Steven Nagel, 1985-06-17, 51-G
154, Loren Acton, 1985-07-29, 51-F
, John Bartoe, 1985-07-29, 51-F
, Roy Bridges, 1985-07-29, 51-F
, Anthony England, 1985-07-29, 51-F
, Karl Henize, 1985-07-29, 51-F
159, Richard Covey, 1985-08-27, 51-I
, William Fisher, 1985-08-27, 51-I
, John Lounge, 1985-08-27, 51-I
162, Vladimir Vasyutin, 1985-09-17, Soyuz T-14
, Aleksandr Volkov, 1985-09-17, Soyuz T-14
164, Ronald Grabe, 1985-10-03, 51-J
, David Hilmers, 1985-10-03, 51-J
, William Pailes, 1985-10-03, 51-J
167, Bonnie Dunbar, 1985-10-30, 61-A
, Reinhard Furrer, 1985-10-30, 61-A
, Ernst Messerschmid, 1985-10-30, 61-A
, Wubbo Ockels, 1985-10-30, 61-A
